year,entrants,place,name_final_table,prize_final_table,player_key_final_table,name_results,player_key_results,prize_results,entries,_merge,name_match,prize_diff,prize_match,entrants_match
2001,613,1,Carlos Mortensen,1500000,carlosmortensen,Carlos Mortensen,carlosmortensen,1500000.0,613.0,both,True,0.0,True,True
2001,613,2,Dewey Tomko,1098925,deweytomko,Dewey Tomko,deweytomko,1098925.0,613.0,both,True,0.0,True,True
2001,613,3,Stan Schrier,699315,stanschrier,Stanley Schrier,stanleyschrier,699315.0,613.0,both,False,0.0,True,True
2001,613,4,Phil Gordon,399610,philgordon,Phil Gordon,philgordon,399610.0,613.0,both,True,0.0,True,True
2001,613,5,Phil Hellmuth,303705,philhellmuth,Phil Hellmuth,philhellmuth,303705.0,613.0,both,True,0.0,True,True
2001,613,6,Mike Matusow,239765,mikematusow,Mike Matusow,mikematusow,239765.0,613.0,both,True,0.0,True,True
2001,613,7,Henry Nowakowski,179825,henrynowakowski,Henry Nowakowski,henrynowakowski,179825.0,613.0,both,True,0.0,True,True
2001,613,8,Steve Riehle,119885,steveriehle,Steven Reihle,stevenreihle,119885.0,613.0,both,False,0.0,True,True
2001,613,9,John Inashima,91190,johninashima,John Inashima,johninashima,91910.0,613.0,both,True,-720.0,False,True
2002,631,1,Robert Varkonyi,2000000,robertvarkonyi,Robert Varkonyi,robertvarkonyi,2000000.0,631.0,both,True,0.0,True,True
2002,631,2,Julian Gardner,1100000,juliangardner,Julian Gardner,juliangardner,1100000.0,631.0,both,True,0.0,True,True
2002,631,3,Ralph Perry,550000,ralphperry,Ralph Perry,ralphperry,550000.0,631.0,both,True,0.0,True,True
2002,631,4,Scott Gray,281480,scottgray,Scott Gray,scottgray,281400.0,631.0,both,True,80.0,False,True
2002,631,5,Harley Hall,195000,harleyhall,Harley Hall,harleyhall,195000.0,631.0,both,True,0.0,True,True
2002,631,6,Russell Rosenblum,150000,russellrosenblum,Russell Rosenblum,russellrosenblum,150000.0,631.0,both,True,0.0,True,True
2002,631,7,John Shipley,125000,johnshipley,John Shipley,johnshipley,120000.0,631.0,both,True,5000.0,False,True
2002,631,8,Tony Duong,100000,tonyduong,,,,,left_only,False,1000099999.0,False,False
2002,631,9,Minh Ly,85000,minhly,Minh Ly,minhly,85000.0,631.0,both,True,0.0,True,True
2003,839,1,Chris Moneymaker,2500000,chrismoneymaker,Chris Moneymaker,chrismoneymaker,2500000.0,839.0,both,True,0.0,True,True
2003,839,2,Sam Farha,1300000,samfarha,Sammy Farha,sammyfarha,1300000.0,839.0,both,False,0.0,True,True
2003,839,3,Dan Harrington,650000,danharrington,Dan Harrington,danharrington,650000.0,839.0,both,True,0.0,True,True
2003,839,4,Jason Lester,440000,jasonlester,Jason Lester,jasonlester,440000.0,839.0,both,True,0.0,True,True
2003,839,5,Tomer Benvenisti,320000,tomerbenvenisti,Tomer Benvenisti,tomerbenvenisti,320000.0,839.0,both,True,0.0,True,True
2003,839,6,Amir Vahedi,250000,amirvahedi,Amir Vahedi,amirvahedi,250000.0,839.0,both,True,0.0,True,True
2003,839,7,Young Pak,200000,youngpak,Young Pak,youngpak,200000.0,839.0,both,True,0.0,True,True
2003,839,8,David Grey,160000,davidgrey,David Grey,davidgrey,160000.0,839.0,both,True,0.0,True,True
2003,839,9,David Singer,120000,davidsinger,David Singer,davidsinger,120000.0,839.0,both,True,0.0,True,True
2004,2576,1,Greg Raymer,5000000,gregraymer,Greg Raymer,gregraymer,5000000.0,2576.0,both,True,0.0,True,True
2004,2576,2,David Williams,3500000,davidwilliams,David Williams,davidwilliams,3500000.0,2576.0,both,True,0.0,True,True
2004,2576,3,Josh Arieh,2500000,josharieh,Josh Arieh,josharieh,2500000.0,2576.0,both,True,0.0,True,True
2004,2576,4,Dan Harrington,1500000,danharrington,Dan Harrington,danharrington,1500000.0,2576.0,both,True,0.0,True,True
2004,2576,5,Glenn Hughes,1100000,glennhughes,Glenn Hughes,glennhughes,1100000.0,2576.0,both,True,0.0,True,True
