year,champion_status,runner_up_status,heads_up_mix
2001,Pro,Pro,Pro vs Pro
2002,Amateur,Pro,Amateur vs Pro
2003,Amateur,Pro,Amateur vs Pro
2004,Uncertain-Crossover,Pro,Uncertain-Crossover vs Pro
2005,Pro,Amateur,Pro vs Amateur
2006,Amateur,Pro,Amateur vs Pro
2007,Amateur,Pro,Amateur vs Pro
2008,Pro,Pro,Pro vs Pro
2009,Pro,Amateur,Pro vs Amateur
2010,Pro,Pro,Pro vs Pro
2011,Pro,Pro,Pro vs Pro
2012,Pro,Pro,Pro vs Pro
2013,Pro,Amateur,Pro vs Amateur
2014,Pro,Pro,Pro vs Pro
2015,Pro,Pro,Pro vs Pro
2016,Pro,Pro,Pro vs Pro
2017,Pro,Amateur,Pro vs Amateur
2018,Pro,Uncertain-Crossover,Pro vs Uncertain-Crossover
2019,Pro,Pro,Pro vs Pro
2020,Pro,Pro,Pro vs Pro
2021,Pro,Amateur,Pro vs Amateur
2022,Pro,Pro,Pro vs Pro
2023,Pro,Uncertain-Crossover,Pro vs Uncertain-Crossover
2024,Pro,Amateur,Pro vs Amateur
2025,Pro,Amateur,Pro vs Amateur
