year,entrants,place,name,prize
2001,613,1,Carlos Mortensen,1500000
2001,613,2,Dewey Tomko,1098925
2001,613,3,Stan Schrier,699315
2001,613,4,Phil Gordon,399610
2001,613,5,Phil Hellmuth,303705
2001,613,6,Mike Matusow,239765
2001,613,7,Henry Nowakowski,179825
2001,613,8,Steve Riehle,119885
2001,613,9,John Inashima,91190
2002,631,1,Robert Varkonyi,2000000
2002,631,2,Julian Gardner,1100000
2002,631,3,Ralph Perry,550000
2002,631,4,Scott Gray,281480
2002,631,5,Harley Hall,195000
2002,631,6,Russell Rosenblum,150000
2002,631,7,John Shipley,125000
2002,631,8,Tony Duong,100000
2002,631,9,Minh Ly,85000
2003,839,1,Chris Moneymaker,2500000
2003,839,2,Sam Farha,1300000
2003,839,3,Dan Harrington,650000
2003,839,4,Jason Lester,440000
2003,839,5,Tomer Benvenisti,320000
2003,839,6,Amir Vahedi,250000
2003,839,7,Young Pak,200000
2003,839,8,David Grey,160000
2003,839,9,David Singer,120000
2004,2576,1,Greg Raymer,5000000
2004,2576,2,David Williams,3500000
2004,2576,3,Josh Arieh,2500000
2004,2576,4,Dan Harrington,1500000
2004,2576,5,Glenn Hughes,1100000
2004,2576,6,Al Krux,800000
2004,2576,7,Matt Dean,675000
2004,2576,8,Mattias Andersson,575000
2004,2576,9,Michael McClain,470400
2005,5619,1,Joe Hachem,7500000
2005,5619,2,Steve Dannenmann,4250000
2005,5619,3,Tex Barch,2500000
2005,5619,4,Aaron Kanter,2000000
2005,5619,5,Andy Black,1750000
2005,5619,6,Scott Lazar,1500000
2005,5619,7,Daniel Bergsdorf,1300000
2005,5619,8,Brad Kondracki,1150000
2005,5619,9,Mike Matusow,1000000
2006,8773,1,Jamie Gold,12000000
2006,8773,2,Paul Wasicka,6102499
2006,8773,3,Michael Binger,4123310
2006,8773,4,Allen Cunningham,3628513
2006,8773,5,Rhett Butler,3216182
2006,8773,6,Richard Lee,2803851
2006,8773,7,Douglas Kim,2391520
2006,8773,8,Erik Friberg,1979189
